date,incid_hosp
2021-10-10,0.0
2021-10-11,1.0
2021-10-12,1.0
2021-10-13,0.0
2021-10-14,0.0
2021-10-15,0.0
2021-10-16,0.0
2021-10-17,0.0
2021-10-18,0.0
2021-10-19,1.0
2021-10-20,0.0
2021-10-21,0.0
2021-10-22,1.0
2021-10-23,1.0
2021-10-24,0.0
2021-10-25,0.0
2021-10-26,2.0
2021-10-27,0.0
2021-10-28,4.0
2021-10-29,2.0
2021-10-30,0.0
2021-10-31,0.0
2021-11-01,0.0
2021-11-02,0.0
2021-11-03,0.0
2021-11-04,0.0
2021-11-05,0.0
2021-11-06,0.0
2021-11-07,0.0
2021-11-08,0.0
2021-11-09,0.0
2021-11-10,2.0
2021-11-11,0.0
2021-11-12,0.0
2021-11-13,0.0
2021-11-14,0.0
2021-11-15,0.0
2021-11-16,4.0
2021-11-17,3.0
2021-11-18,0.0
2021-11-19,2.0
2021-11-20,4.0
2021-11-21,2.0
2021-11-22,4.0
2021-11-23,2.0
2021-11-24,3.0
2021-11-25,5.0
2021-11-26,3.0
2021-11-27,2.0
2021-11-28,0.0
2021-11-29,0.0
2021-11-30,12.0
2021-12-01,12.0
2021-12-02,3.0
2021-12-03,6.0
2021-12-04,7.0
2021-12-05,3.0
2021-12-06,3.0
2021-12-07,9.0
2021-12-08,1.0
2021-12-09,5.0
2021-12-10,6.0
2021-12-11,10.0
2021-12-12,0.0
2021-12-13,22.0
2021-12-14,15.0
2021-12-15,8.0
2021-12-16,5.0
2021-12-17,5.0
2021-12-18,4.0
2021-12-19,0.0
2021-12-20,9.0
2021-12-21,16.0
2021-12-22,21.0
2021-12-23,1.0
2021-12-24,6.0
2021-12-25,5.0
2021-12-26,0.0
2021-12-27,5.0
2021-12-28,12.0
2021-12-29,7.0
2021-12-30,1.0
2021-12-31,15.0
2022-01-01,9.0
2022-01-02,3.0
2022-01-03,4.0
2022-01-04,11.0
2022-01-05,26.0
2022-01-06,12.0
2022-01-07,12.0
2022-01-08,7.0
2022-01-09,1.0
2022-01-10,11.0
2022-01-11,22.0
2022-01-12,31.0
2022-01-13,7.0
2022-01-14,15.0
2022-01-15,5.0
2022-01-16,1.0
2022-01-17,9.0
2022-01-18,12.0
2022-01-19,49.0
2022-01-20,14.0
